|  SP | White    | Black    | Chess960FEN                                                   |
|  64 | BBNNRKQR | bbnnrkqr | [FEN "bbnnrkqr/pppppppp/8/8/8/8/PPPPPPPP/BBNNRKQR w HEhe - 0 1"] |
|  65 | BNNBRKQR | bnnbrkqr | [FEN "bnnbrkqr/pppppppp/8/8/8/8/PPPPPPPP/BNNBRKQR w HEhe - 0 1"] |
|  66 | BNNRKBQR | bnnrkbqr | [FEN "bnnrkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNNRKBQR w HDhd - 0 1"] |
|  67 | BNNRKQRB | bnnrkqrb | [FEN "bnnrkqrb/pppppppp/8/8/8/8/PPPPPPPP/BNNRKQRB w GDgd - 0 1"] |
|  68 | NBBNRKQR | nbbnrkqr | [FEN "nbbnrkqr/pppppppp/8/8/8/8/PPPPPPPP/NBBNRKQR w HEhe - 0 1"] |
|  69 | NNBBRKQR | nnbbrkqr | [FEN "nnbbrkqr/pppppppp/8/8/8/8/PPPPPPPP/NNBBRKQR w HEhe - 0 1"] |
|  70 | NNBRKBQR | nnbrkbqr | [FEN "nnbrkbqr/pppppppp/8/8/8/8/PPPPPPPP/NNBRKBQR w HDhd - 0 1"] |
|  71 | NNBRKQRB | nnbrkqrb | [FEN "nnbrkqrb/pppppppp/8/8/8/8/PPPPPPPP/NNBRKQRB w GDgd - 0 1"] |
|  72 | NBNRBKQR | nbnrbkqr | [FEN "nbnrbkqr/pppppppp/8/8/8/8/PPPPPPPP/NBNRBKQR w HDhd - 0 1"] |
|  73 | NNRBBKQR | nnrbbkqr | [FEN "nnrbbkqr/pppppppp/8/8/8/8/PPPPPPPP/NNRBBKQR w HChc - 0 1"] |
|  74 | NNRKBBQR | nnrkbbqr | [FEN "nnrkbbqr/pppppppp/8/8/8/8/PPPPPPPP/NNRKBBQR w HChc - 0 1"] |
|  75 | NNRKBQRB | nnrkbqrb | [FEN "nnrkbqrb/pppppppp/8/8/8/8/PPPPPPPP/NNRKBQRB w GCgc - 0 1"] |
|  76 | NBNRKQBR | nbnrkqbr | [FEN "nbnrkqbr/pppppppp/8/8/8/8/PPPPPPPP/NBNRKQBR w HDhd - 0 1"] |
|  77 | NNRBKQBR | nnrbkqbr | [FEN "nnrbkqbr/pppppppp/8/8/8/8/PPPPPPPP/NNRBKQBR w HChc - 0 1"] |
|  78 | NNRKQBBR | nnrkqbbr | [FEN "nnrkqbbr/pppppppp/8/8/8/8/PPPPPPPP/NNRKQBBR w HChc - 0 1"] |
|  79 | NNRKQRBB | nnrkqrbb | [FEN "nnrkqrbb/pppppppp/8/8/8/8/PPPPPPPP/NNRKQRBB w FCfc - 0 1"] |
|  80 | BBNNRKRQ | bbnnrkrq | [FEN "bbnnrkrq/pppppppp/8/8/8/8/PPPPPPPP/BBNNRKRQ w GEge - 0 1"] |
|  81 | BNNBRKRQ | bnnbrkrq | [FEN "bnnbrkrq/pppppppp/8/8/8/8/PPPPPPPP/BNNBRKRQ w GEge - 0 1"] |
|  82 | BNNRKBRQ | bnnrkbrq | [FEN "bnnrkbrq/pppppppp/8/8/8/8/PPPPPPPP/BNNRKBRQ w GDgd - 0 1"] |
|  83 | BNNRKRQB | bnnrkrqb | [FEN "bnnrkrqb/pppppppp/8/8/8/8/PPPPPPPP/BNNRKRQB w FDfd - 0 1"] |
|  84 | NBBNRKRQ | nbbnrkrq | [FEN "nbbnrkrq/pppppppp/8/8/8/8/PPPPPPPP/NBBNRKRQ w GEge - 0 1"] |
|  85 | NNBBRKRQ | nnbbrkrq | [FEN "nnbbrkrq/pppppppp/8/8/8/8/PPPPPPPP/NNBBRKRQ w GEge - 0 1"] |
|  86 | NNBRKBRQ | nnbrkbrq | [FEN "nnbrkbrq/pppppppp/8/8/8/8/PPPPPPPP/NNBRKBRQ w GDgd - 0 1"] |
|  87 | NNBRKRQB | nnbrkrqb | [FEN "nnbrkrqb/pppppppp/8/8/8/8/PPPPPPPP/NNBRKRQB w FDfd - 0 1"] |
|  88 | NBNRBKRQ | nbnrbkrq | [FEN "nbnrbkrq/pppppppp/8/8/8/8/PPPPPPPP/NBNRBKRQ w GDgd - 0 1"] |
|  89 | NNRBBKRQ | nnrbbkrq | [FEN "nnrbbkrq/pppppppp/8/8/8/8/PPPPPPPP/NNRBBKRQ w GCgc - 0 1"] |
|  90 | NNRKBBRQ | nnrkbbrq | [FEN "nnrkbbrq/pppppppp/8/8/8/8/PPPPPPPP/NNRKBBRQ w GCgc - 0 1"] |
|  91 | NNRKBRQB | nnrkbrqb | [FEN "nnrkbrqb/pppppppp/8/8/8/8/PPPPPPPP/NNRKBRQB w FCfc - 0 1"] |
|  92 | NBNRKRBQ | nbnrkrbq | [FEN "nbnrkrbq/pppppppp/8/8/8/8/PPPPPPPP/NBNRKRBQ w FDfd - 0 1"] |
|  93 | NNRBKRBQ | nnrbkrbq | [FEN "nnrbkrbq/pppppppp/8/8/8/8/PPPPPPPP/NNRBKRBQ w FCfc - 0 1"] |
|  94 | NNRKRBBQ | nnrkrbbq | [FEN "nnrkrbbq/pppppppp/8/8/8/8/PPPPPPPP/NNRKRBBQ w ECec - 0 1"] |
|  95 | NNRKRQBB | nnrkrqbb | [FEN "nnrkrqbb/pppppppp/8/8/8/8/PPPPPPPP/NNRKRQBB w ECec - 0 1"] |
|  96 | BBQNRNKR | bbqnrnkr | [FEN "bbqnrnkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNRNKR w HEhe - 0 1"] |
|  97 | BQNBRNKR | bqnbrnkr | [FEN "bqnbrnkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBRNKR w HEhe - 0 1"] |
|  98 | BQNRNBKR | bqnrnbkr | [FEN "bqnrnbkr/pppppppp/8/8/8/8/PPPPPPPP/BQNRNBKR w HDhd - 0 1"] |
|  99 | BQNRNKRB | bqnrnkrb | [FEN "bqnrnkrb/pppppppp/8/8/8/8/PPPPPPPP/BQNRNKRB w GDgd - 0 1"] |
| 100 | QBBNRNKR | qbbnrnkr | [FEN "qbbnrnkr/pppppppp/8/8/8/8/PPPPPPPP/QBBNRNKR w HEhe - 0 1"] |
| 101 | QNBBRNKR | qnbbrnkr | [FEN "qnbbrnkr/pppppppp/8/8/8/8/PPPPPPPP/QNBBRNKR w HEhe - 0 1"] |
| 102 | QNBRNBKR | qnbrnbkr | [FEN "qnbrnbkr/pppppppp/8/8/8/8/PPPPPPPP/QNBRNBKR w HDhd - 0 1"] |
| 103 | QNBRNKRB | qnbrnkrb | [FEN "qnbrnkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBRNKRB w GDgd - 0 1"] |
| 104 | QBNRBNKR | qbnrbnkr | [FEN "qbnrbnkr/pppppppp/8/8/8/8/PPPPPPPP/QBNRBNKR w HDhd - 0 1"] |
| 105 | QNRBBNKR | qnrbbnkr | [FEN "qnrbbnkr/pppppppp/8/8/8/8/PPPPPPPP/QNRBBNKR w HChc - 0 1"] |
| 106 | QNRNBBKR | qnrnbbkr | [FEN "qnrnbbkr/pppppppp/8/8/8/8/PPPPPPPP/QNRNBBKR w HChc - 0 1"] |
| 107 | QNRNBKRB | qnrnbkrb | [FEN "qnrnbkrb/pppppppp/8/8/8/8/PPPPPPPP/QNRNBKRB w GCgc - 0 1"] |
| 108 | QBNRNKBR | qbnrnkbr | [FEN "qbnrnkbr/pppppppp/8/8/8/8/PPPPPPPP/QBNRNKBR w HDhd - 0 1"] |
| 109 | QNRBNKBR | qnrbnkbr | [FEN "qnrbnkbr/pppppppp/8/8/8/8/PPPPPPPP/QNRBNKBR w HChc - 0 1"] |
| 110 | QNRNKBBR | qnrnkbbr | [FEN "qnrnkbbr/pppppppp/8/8/8/8/PPPPPPPP/QNRNKBBR w HChc - 0 1"] |
| 111 | QNRNKRBB | qnrnkrbb | [FEN "qnrnkrbb/pppppppp/8/8/8/8/PPPPPPPP/QNRNKRBB w FCfc - 0 1"] |
| 112 | BBNQRNKR | bbnqrnkr | [FEN "bbnqrnkr/pppppppp/8/8/8/8/PPPPPPPP/BBNQRNKR w HEhe - 0 1"] |
| 113 | BNQBRNKR | bnqbrnkr | [FEN "bnqbrnkr/pppppppp/8/8/8/8/PPPPPPPP/BNQBRNKR w HEhe - 0 1"] |
| 114 | BNQRNBKR | bnqrnbkr | [FEN "bnqrnbkr/pppppppp/8/8/8/8/PPPPPPPP/BNQRNBKR w HDhd - 0 1"] |
| 115 | BNQRNKRB | bnqrnkrb | [FEN "bnqrnkrb/pppppppp/8/8/8/8/PPPPPPPP/BNQRNKRB w GDgd - 0 1"] |
| 116 | NBBQRNKR | nbbqrnkr | [FEN "nbbqrnkr/pppppppp/8/8/8/8/PPPPPPPP/NBBQRNKR w HEhe - 0 1"] |
| 117 | NQBBRNKR | nqbbrnkr | [FEN "nqbbrnkr/pppppppp/8/8/8/8/PPPPPPPP/NQBBRNKR w HEhe - 0 1"] |
| 118 | NQBRNBKR | nqbrnbkr | [FEN "nqbrnbkr/pppppppp/8/8/8/8/PPPPPPPP/NQBRNBKR w HDhd - 0 1"] |
| 119 | NQBRNKRB | nqbrnkrb | [FEN "nqbrnkrb/pppppppp/8/8/8/8/PPPPPPPP/NQBRNKRB w GDgd - 0 1"] |
| 120 | NBQRBNKR | nbqrbnkr | [FEN "nbqrbnkr/pppppppp/8/8/8/8/PPPPPPPP/NBQRBNKR w HDhd - 0 1"] |
| 121 | NQRBBNKR | nqrbbnkr | [FEN "nqrbbnkr/pppppppp/8/8/8/8/PPPPPPPP/NQRBBNKR w HChc - 0 1"] |
| 122 | NQRNBBKR | nqrnbbkr | [FEN "nqrnbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQRNBBKR w HChc - 0 1"] |
| 123 | NQRNBKRB | nqrnbkrb | [FEN "nqrnbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQRNBKRB w GCgc - 0 1"] |
| 124 | NBQRNKBR | nbqrnkbr | [FEN "nbqrnkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQRNKBR w HDhd - 0 1"] |
| 125 | NQRBNKBR | nqrbnkbr | [FEN "nqrbnkbr/pppppppp/8/8/8/8/PPPPPPPP/NQRBNKBR w HChc - 0 1"] |
| 126 | NQRNKBBR | nqrnkbbr | [FEN "nqrnkbbr/pppppppp/8/8/8/8/PPPPPPPP/NQRNKBBR w HChc - 0 1"] |
| 127 | NQRNKRBB | nqrnkrbb | [FEN "nqrnkrbb/pppppppp/8/8/8/8/PPPPPPPP/NQRNKRBB w FCfc - 0 1"] |
| 128 | BBNRQNKR | bbnrqnkr | [FEN "bbnrqnkr/pppppppp/8/8/8/8/PPPPPPPP/BBNRQNKR w HDhd - 0 1"] |
| 129 | BNRBQNKR | bnrbqnkr | [FEN "bnrbqnkr/pppppppp/8/8/8/8/PPPPPPPP/BNRBQNKR w HChc - 0 1"] |
| 130 | BNRQNBKR | bnrqnbkr | [FEN "bnrqnbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRQNBKR w HChc - 0 1"] |
| 131 | BNRQNKRB | bnrqnkrb | [FEN "bnrqnkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRQNKRB w GCgc - 0 1"] |
| 132 | NBBRQNKR | nbbrqnkr | [FEN "nbbrqnkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRQNKR w HDhd - 0 1"] |
| 133 | NRBBQNKR | nrbbqnkr | [FEN "nrbbqnkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBQNKR w HBhb - 0 1"] |
| 134 | NRBQNBKR | nrbqnbkr | [FEN "nrbqnbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBQNBKR w HBhb - 0 1"] |
| 135 | NRBQNKRB | nrbqnkrb | [FEN "nrbqnkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBQNKRB w GBgb - 0 1"] |
| 136 | NBRQBNKR | nbrqbnkr | [FEN "nbrqbnkr/pppppppp/8/8/8/8/PPPPPPPP/NBRQBNKR w HChc - 0 1"] |
| 137 | NRQBBNKR | nrqbbnkr | [FEN "nrqbbnkr/pppppppp/8/8/8/8/PPPPPPPP/NRQBBNKR w HBhb - 0 1"] |
| 138 | NRQNBBKR | nrqnbbkr | [FEN "nrqnbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRQNBBKR w HBhb - 0 1"] |
| 139 | NRQNBKRB | nrqnbkrb | [FEN "nrqnbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRQNBKRB w GBgb - 0 1"] |
| 140 | NBRQNKBR | nbrqnkbr | [FEN "nbrqnkbr/pppppppp/8/8/8/8/PPPPPPPP/NBRQNKBR w HChc - 0 1"] |
| 141 | NRQBNKBR | nrqbnkbr | [FEN "nrqbnkbr/pppppppp/8/8/8/8/PPPPPPPP/NRQBNKBR w HBhb - 0 1"] |
| 142 | NRQNKBBR | nrqnkbbr | [FEN "nrqnkbbr/pppppppp/8/8/8/8/PPPPPPPP/NRQNKBBR w HBhb - 0 1"] |
| 143 | NRQNKRBB | nrqnkrbb | [FEN "nrqnkrbb/pppppppp/8/8/8/8/PPPPPPPP/NRQNKRBB w FBfb - 0 1"] |
| 144 | BBNRNQKR | bbnrnqkr | [FEN "bbnrnqkr/pppppppp/8/8/8/8/PPPPPPPP/BBNRNQKR w HDhd - 0 1"] |
| 145 | BNRBNQKR | bnrbnqkr | [FEN "bnrbnqkr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNQKR w HChc - 0 1"] |
| 146 | BNRNQBKR | bnrnqbkr | [FEN "bnrnqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRNQBKR w HChc - 0 1"] |
| 147 | BNRNQKRB | bnrnqkrb | [FEN "bnrnqkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNQKRB w GCgc - 0 1"] |
| 148 | NBBRNQKR | nbbrnqkr | [FEN "nbbrnqkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNQKR w HDhd - 0 1"] |
| 149 | NRBBNQKR | nrbbnqkr | [FEN "nrbbnqkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNQKR w HBhb - 0 1"] |
| 150 | NRBNQBKR | nrbnqbkr | [FEN "nrbnqbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBNQBKR w HBhb - 0 1"] |
| 151 | NRBNQKRB | nrbnqkrb | [FEN "nrbnqkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNQKRB w GBgb - 0 1"] |
| 152 | NBRNBQKR | nbrnbqkr | [FEN "nbrnbqkr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBQKR w HChc - 0 1"] |
| 153 | NRNBBQKR | nrnbbqkr | [FEN "nrnbbqkr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBQKR w HBhb - 0 1"] |
| 154 | NRNQBBKR | nrnqbbkr | [FEN "nrnqbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRNQBBKR w HBhb - 0 1"] |
| 155 | NRNQBKRB | nrnqbkrb | [FEN "nrnqbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRNQBKRB w GBgb - 0 1"] |
| 156 | NBRNQKBR | nbrnqkbr | [FEN "nbrnqkbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNQKBR w HChc - 0 1"] |
