|  SP | White    | Black    | Chess960FEN                                                   |
| 340 | NBBRKQRN | nbbrkqrn | [FEN "nbbrkqrn/pppppppp/8/8/8/8/PPPPPPPP/NBBRKQRN w GDgd - 0 1"] |
| 341 | NRBBKQRN | nrbbkqrn | [FEN "nrbbkqrn/pppppppp/8/8/8/8/PPPPPPPP/NRBBKQRN w GBgb - 0 1"] |
| 342 | NRBKQBRN | nrbkqbrn | [FEN "nrbkqbrn/pppppppp/8/8/8/8/PPPPPPPP/NRBKQBRN w GBgb - 0 1"] |
| 343 | NRBKQRNB | nrbkqrnb | [FEN "nrbkqrnb/pppppppp/8/8/8/8/PPPPPPPP/NRBKQRNB w FBfb - 0 1"] |
| 344 | NBRKBQRN | nbrkbqrn | [FEN "nbrkbqrn/pppppppp/8/8/8/8/PPPPPPPP/NBRKBQRN w GCgc - 0 1"] |
| 345 | NRKBBQRN | nrkbbqrn | [FEN "nrkbbqrn/pppppppp/8/8/8/8/PPPPPPPP/NRKBBQRN w GBgb - 0 1"] |
| 346 | NRKQBBRN | nrkqbbrn | [FEN "nrkqbbrn/pppppppp/8/8/8/8/PPPPPPPP/NRKQBBRN w GBgb - 0 1"] |
| 347 | NRKQBRNB | nrkqbrnb | [FEN "nrkqbrnb/pppppppp/8/8/8/8/PPPPPPPP/NRKQBRNB w FBfb - 0 1"] |
| 348 | NBRKQRBN | nbrkqrbn | [FEN "nbrkqrbn/pppppppp/8/8/8/8/PPPPPPPP/NBRKQRBN w FCfc - 0 1"] |
| 349 | NRKBQRBN | nrkbqrbn | [FEN "nrkbqrbn/pppppppp/8/8/8/8/PPPPPPPP/NRKBQRBN w FBfb - 0 1"] |
| 350 | NRKQRBBN | nrkqrbbn | [FEN "nrkqrbbn/pppppppp/8/8/8/8/PPPPPPPP/NRKQRBBN w EBeb - 0 1"] |
| 351 | NRKQRNBB | nrkqrnbb | [FEN "nrkqrnbb/pppppppp/8/8/8/8/PPPPPPPP/NRKQRNBB w EBeb - 0 1"] |
| 352 | BBNRKRQN | bbnrkrqn | [FEN "bbnrkrqn/pppppppp/8/8/8/8/PPPPPPPP/BBNRKRQN w FDfd - 0 1"] |
| 353 | BNRBKRQN | bnrbkrqn | [FEN "bnrbkrqn/pppppppp/8/8/8/8/PPPPPPPP/BNRBKRQN w FCfc - 0 1"] |
| 354 | BNRKRBQN | bnrkrbqn | [FEN "bnrkrbqn/pppppppp/8/8/8/8/PPPPPPPP/BNRKRBQN w ECec - 0 1"] |
| 355 | BNRKRQNB | bnrkrqnb | [FEN "bnrkrqnb/pppppppp/8/8/8/8/PPPPPPPP/BNRKRQNB w ECec - 0 1"] |
| 356 | NBBRKRQN | nbbrkrqn | [FEN "nbbrkrqn/pppppppp/8/8/8/8/PPPPPPPP/NBBRKRQN w FDfd - 0 1"] |
| 357 | NRBBKRQN | nrbbkrqn | [FEN "nrbbkrqn/pppppppp/8/8/8/8/PPPPPPPP/NRBBKRQN w FBfb - 0 1"] |
| 358 | NRBKRBQN | nrbkrbqn | [FEN "nrbkrbqn/pppppppp/8/8/8/8/PPPPPPPP/NRBKRBQN w EBeb - 0 1"] |
| 359 | NRBKRQNB | nrbkrqnb | [FEN "nrbkrqnb/pppppppp/8/8/8/8/PPPPPPPP/NRBKRQNB w EBeb - 0 1"] |
| 360 | NBRKBRQN | nbrkbrqn | [FEN "nbrkbrqn/pppppppp/8/8/8/8/PPPPPPPP/NBRKBRQN w FCfc - 0 1"] |
| 361 | NRKBBRQN | nrkbbrqn | [FEN "nrkbbrqn/pppppppp/8/8/8/8/PPPPPPPP/NRKBBRQN w FBfb - 0 1"] |
| 362 | NRKRBBQN | nrkrbbqn | [FEN "nrkrbbqn/pppppppp/8/8/8/8/PPPPPPPP/NRKRBBQN w DBdb - 0 1"] |
| 363 | NRKRBQNB | nrkrbqnb | [FEN "nrkrbqnb/pppppppp/8/8/8/8/PPPPPPPP/NRKRBQNB w DBdb - 0 1"] |
| 364 | NBRKRQBN | nbrkrqbn | [FEN "nbrkrqbn/pppppppp/8/8/8/8/PPPPPPPP/NBRKRQBN w ECec - 0 1"] |
| 365 | NRKBRQBN | nrkbrqbn | [FEN "nrkbrqbn/pppppppp/8/8/8/8/PPPPPPPP/NRKBRQBN w EBeb - 0 1"] |
| 366 | NRKRQBBN | nrkrqbbn | [FEN "nrkrqbbn/pppppppp/8/8/8/8/PPPPPPPP/NRKRQBBN w DBdb - 0 1"] |
| 367 | NRKRQNBB | nrkrqnbb | [FEN "nrkrqnbb/pppppppp/8/8/8/8/PPPPPPPP/NRKRQNBB w DBdb - 0 1"] |
| 368 | BBNRKRNQ | bbnrkrnq | [FEN "bbnrkrnq/pppppppp/8/8/8/8/PPPPPPPP/BBNRKRNQ w FDfd - 0 1"] |
| 369 | BNRBKRNQ | bnrbkrnq | [FEN "bnrbkrnq/pppppppp/8/8/8/8/PPPPPPPP/BNRBKRNQ w FCfc - 0 1"] |
| 370 | BNRKRBNQ | bnrkrbnq | [FEN "bnrkrbnq/pppppppp/8/8/8/8/PPPPPPPP/BNRKRBNQ w ECec - 0 1"] |
| 371 | BNRKRNQB | bnrkrnqb | [FEN "bnrkrnqb/pppppppp/8/8/8/8/PPPPPPPP/BNRKRNQB w ECec - 0 1"] |
| 372 | NBBRKRNQ | nbbrkrnq | [FEN "nbbrkrnq/pppppppp/8/8/8/8/PPPPPPPP/NBBRKRNQ w FDfd - 0 1"] |
| 373 | NRBBKRNQ | nrbbkrnq | [FEN "nrbbkrnq/pppppppp/8/8/8/8/PPPPPPPP/NRBBKRNQ w FBfb - 0 1"] |
| 374 | NRBKRBNQ | nrbkrbnq | [FEN "nrbkrbnq/pppppppp/8/8/8/8/PPPPPPPP/NRBKRBNQ w EBeb - 0 1"] |
| 375 | NRBKRNQB | nrbkrnqb | [FEN "nrbkrnqb/pppppppp/8/8/8/8/PPPPPPPP/NRBKRNQB w EBeb - 0 1"] |
| 376 | NBRKBRNQ | nbrkbrnq | [FEN "nbrkbrnq/pppppppp/8/8/8/8/PPPPPPPP/NBRKBRNQ w FCfc - 0 1"] |
| 377 | NRKBBRNQ | nrkbbrnq | [FEN "nrkbbrnq/pppppppp/8/8/8/8/PPPPPPPP/NRKBBRNQ w FBfb - 0 1"] |
| 378 | NRKRBBNQ | nrkrbbnq | [FEN "nrkrbbnq/pppppppp/8/8/8/8/PPPPPPPP/NRKRBBNQ w DBdb - 0 1"] |
| 379 | NRKRBNQB | nrkrbnqb | [FEN "nrkrbnqb/pppppppp/8/8/8/8/PPPPPPPP/NRKRBNQB w DBdb - 0 1"] |
| 380 | NBRKRNBQ | nbrkrnbq | [FEN "nbrkrnbq/pppppppp/8/8/8/8/PPPPPPPP/NBRKRNBQ w ECec - 0 1"] |
| 381 | NRKBRNBQ | nrkbrnbq | [FEN "nrkbrnbq/pppppppp/8/8/8/8/PPPPPPPP/NRKBRNBQ w EBeb - 0 1"] |
| 382 | NRKRNBBQ | nrkrnbbq | [FEN "nrkrnbbq/pppppppp/8/8/8/8/PPPPPPPP/NRKRNBBQ w DBdb - 0 1"] |
| 383 | NRKRNQBB | nrkrnqbb | [FEN "nrkrnqbb/pppppppp/8/8/8/8/PPPPPPPP/NRKRNQBB w DBdb - 0 1"] |
| 384 | BBQRNNKR | bbqrnnkr | [FEN "bbqrnnkr/pppppppp/8/8/8/8/PPPPPPPP/BBQRNNKR w HDhd - 0 1"] |
| 385 | BQRBNNKR | bqrbnnkr | [FEN "bqrbnnkr/pppppppp/8/8/8/8/PPPPPPPP/BQRBNNKR w HChc - 0 1"] |
| 386 | BQRNNBKR | bqrnnbkr | [FEN "bqrnnbkr/pppppppp/8/8/8/8/PPPPPPPP/BQRNNBKR w HChc - 0 1"] |
| 387 | BQRNNKRB | bqrnnkrb | [FEN "bqrnnkrb/pppppppp/8/8/8/8/PPPPPPPP/BQRNNKRB w GCgc - 0 1"] |
| 388 | QBBRNNKR | qbbrnnkr | [FEN "qbbrnnkr/pppppppp/8/8/8/8/PPPPPPPP/QBBRNNKR w HDhd - 0 1"] |
| 389 | QRBBNNKR | qrbbnnkr | [FEN "qrbbnnkr/pppppppp/8/8/8/8/PPPPPPPP/QRBBNNKR w HBhb - 0 1"] |
| 390 | QRBNNBKR | qrbnnbkr | [FEN "qrbnnbkr/pppppppp/8/8/8/8/PPPPPPPP/QRBNNBKR w HBhb - 0 1"] |
| 391 | QRBNNKRB | qrbnnkrb | [FEN "qrbnnkrb/pppppppp/8/8/8/8/PPPPPPPP/QRBNNKRB w GBgb - 0 1"] |
| 392 | QBRNBNKR | qbrnbnkr | [FEN "qbrnbnkr/pppppppp/8/8/8/8/PPPPPPPP/QBRNBNKR w HChc - 0 1"] |
| 393 | QRNBBNKR | qrnbbnkr | [FEN "qrnbbnkr/pppppppp/8/8/8/8/PPPPPPPP/QRNBBNKR w HBhb - 0 1"] |
| 394 | QRNNBBKR | qrnnbbkr | [FEN "qrnnbbkr/pppppppp/8/8/8/8/PPPPPPPP/QRNNBBKR w HBhb - 0 1"] |
| 395 | QRNNBKRB | qrnnbkrb | [FEN "qrnnbkrb/pppppppp/8/8/8/8/PPPPPPPP/QRNNBKRB w GBgb - 0 1"] |
| 396 | QBRNNKBR | qbrnnkbr | [FEN "qbrnnkbr/pppppppp/8/8/8/8/PPPPPPPP/QBRNNKBR w HChc - 0 1"] |
| 397 | QRNBNKBR | qrnbnkbr | [FEN "qrnbnkbr/pppppppp/8/8/8/8/PPPPPPPP/QRNBNKBR w HBhb - 0 1"] |
| 398 | QRNNKBBR | qrnnkbbr | [FEN "qrnnkbbr/pppppppp/8/8/8/8/PPPPPPPP/QRNNKBBR w HBhb - 0 1"] |
| 399 | QRNNKRBB | qrnnkrbb | [FEN "qrnnkrbb/pppppppp/8/8/8/8/PPPPPPPP/QRNNKRBB w FBfb - 0 1"] |
| 400 | BBRQNNKR | bbrqnnkr | [FEN "bbrqnnkr/pppppppp/8/8/8/8/PPPPPPPP/BBRQNNKR w HChc - 0 1"] |
| 401 | BRQBNNKR | brqbnnkr | [FEN "brqbnnkr/pppppppp/8/8/8/8/PPPPPPPP/BRQBNNKR w HBhb - 0 1"] |
| 402 | BRQNNBKR | brqnnbkr | [FEN "brqnnbkr/pppppppp/8/8/8/8/PPPPPPPP/BRQNNBKR w HBhb - 0 1"] |
| 403 | BRQNNKRB | brqnnkrb | [FEN "brqnnkrb/pppppppp/8/8/8/8/PPPPPPPP/BRQNNKRB w GBgb - 0 1"] |
| 404 | RBBQNNKR | rbbqnnkr | [FEN "rbbqnnkr/pppppppp/8/8/8/8/PPPPPPPP/RBBQNNKR w HAha - 0 1"] |
| 405 | RQBBNNKR | rqbbnnkr | [FEN "rqbbnnkr/pppppppp/8/8/8/8/PPPPPPPP/RQBBNNKR w HAha - 0 1"] |
| 406 | RQBNNBKR | rqbnnbkr | [FEN "rqbnnbkr/pppppppp/8/8/8/8/PPPPPPPP/RQBNNBKR w HAha - 0 1"] |
| 407 | RQBNNKRB | rqbnnkrb | [FEN "rqbnnkrb/pppppppp/8/8/8/8/PPPPPPPP/RQBNNKRB w GAga - 0 1"] |
| 408 | RBQNBNKR | rbqnbnkr | [FEN "rbqnbnkr/pppppppp/8/8/8/8/PPPPPPPP/RBQNBNKR w HAha - 0 1"] |
| 409 | RQNBBNKR | rqnbbnkr | [FEN "rqnbbnkr/pppppppp/8/8/8/8/PPPPPPPP/RQNBBNKR w HAha - 0 1"] |
| 410 | RQNNBBKR | rqnnbbkr | [FEN "rqnnbbkr/pppppppp/8/8/8/8/PPPPPPPP/RQNNBBKR w HAha - 0 1"] |
| 411 | RQNNBKRB | rqnnbkrb | [FEN "rqnnbkrb/pppppppp/8/8/8/8/PPPPPPPP/RQNNBKRB w GAga - 0 1"] |
| 412 | RBQNNKBR | rbqnnkbr | [FEN "rbqnnkbr/pppppppp/8/8/8/8/PPPPPPPP/RBQNNKBR w HAha - 0 1"] |
| 413 | RQNBNKBR | rqnbnkbr | [FEN "rqnbnkbr/pppppppp/8/8/8/8/PPPPPPPP/RQNBNKBR w HAha - 0 1"] |
| 414 | RQNNKBBR | rqnnkbbr | [FEN "rqnnkbbr/pppppppp/8/8/8/8/PPPPPPPP/RQNNKBBR w HAha - 0 1"] |
| 415 | RQNNKRBB | rqnnkrbb | [FEN "rqnnkrbb/pppppppp/8/8/8/8/PPPPPPPP/RQNNKRBB w FAfa - 0 1"] |
| 416 | BBRNQNKR | bbrnqnkr | [FEN "bbrnqnkr/pppppppp/8/8/8/8/PPPPPPPP/BBRNQNKR w HChc - 0 1"] |
| 417 | BRNBQNKR | brnbqnkr | [FEN "brnbqnkr/pppppppp/8/8/8/8/PPPPPPPP/BRNBQNKR w HBhb - 0 1"] |
| 418 | BRNQNBKR | brnqnbkr | [FEN "brnqnbkr/pppppppp/8/8/8/8/PPPPPPPP/BRNQNBKR w HBhb - 0 1"] |
| 419 | BRNQNKRB | brnqnkrb | [FEN "brnqnkrb/pppppppp/8/8/8/8/PPPPPPPP/BRNQNKRB w GBgb - 0 1"] |
| 420 | RBBNQNKR | rbbnqnkr | [FEN "rbbnqnkr/pppppppp/8/8/8/8/PPPPPPPP/RBBNQNKR w HAha - 0 1"] |
| 421 | RNBBQNKR | rnbbqnkr | [FEN "rnbbqnkr/pppppppp/8/8/8/8/PPPPPPPP/RNBBQNKR w HAha - 0 1"] |
| 422 | RNBQNBKR | rnbqnbkr | [FEN "rnbqnbkr/pppppppp/8/8/8/8/PPPPPPPP/RNBQNBKR w HAha - 0 1"] |
| 423 | RNBQNKRB | rnbqnkrb | [FEN "rnbqnkrb/pppppppp/8/8/8/8/PPPPPPPP/RNBQNKRB w GAga - 0 1"] |
| 424 | RBNQBNKR | rbnqbnkr | [FEN "rbnqbnkr/pppppppp/8/8/8/8/PPPPPPPP/RBNQBNKR w HAha - 0 1"] |
| 425 | RNQBBNKR | rnqbbnkr | [FEN "rnqbbnkr/pppppppp/8/8/8/8/PPPPPPPP/RNQBBNKR w HAha - 0 1"] |
| 426 | RNQNBBKR | rnqnbbkr | [FEN "rnqnbbkr/pppppppp/8/8/8/8/PPPPPPPP/RNQNBBKR w HAha - 0 1"] |
| 427 | RNQNBKRB | rnqnbkrb | [FEN "rnqnbkrb/pppppppp/8/8/8/8/PPPPPPPP/RNQNBKRB w GAga - 0 1"] |
| 428 | RBNQNKBR | rbnqnkbr | [FEN "rbnqnkbr/pppppppp/8/8/8/8/PPPPPPPP/RBNQNKBR w HAha - 0 1"] |
| 429 | RNQBNKBR | rnqbnkbr | [FEN "rnqbnkbr/pppppppp/8/8/8/8/PPPPPPPP/RNQBNKBR w HAha - 0 1"] |
| 430 | RNQNKBBR | rnqnkbbr | [FEN "rnqnkbbr/pppppppp/8/8/8/8/PPPPPPPP/RNQNKBBR w HAha - 0 1"] |
| 431 | RNQNKRBB | rnqnkrbb | [FEN "rnqnkrbb/pppppppp/8/8/8/8/PPPPPPPP/RNQNKRBB w FAfa - 0 1"] |
| 432 | BBRNNQKR | bbrnnqkr | [FEN "bbrnnqkr/pppppppp/8/8/8/8/PPPPPPPP/BBRNNQKR w HChc - 0 1"] |
| 433 | BRNBNQKR | brnbnqkr | [FEN "brnbnqkr/pppppppp/8/8/8/8/PPPPPPPP/BRNBNQKR w HBhb - 0 1"] |
| 434 | BRNNQBKR | brnnqbkr | [FEN "brnnqbkr/pppppppp/8/8/8/8/PPPPPPPP/BRNNQBKR w HBhb - 0 1"] |
| 435 | BRNNQKRB | brnnqkrb | [FEN "brnnqkrb/pppppppp/8/8/8/8/PPPPPPPP/BRNNQKRB w GBgb - 0 1"] |
| 436 | RBBNNQKR | rbbnnqkr | [FEN "rbbnnqkr/pppppppp/8/8/8/8/PPPPPPPP/RBBNNQKR w HAha - 0 1"] |
| 437 | RNBBNQKR | rnbbnqkr | [FEN "rnbbnqkr/pppppppp/8/8/8/8/PPPPPPPP/RNBBNQKR w HAha - 0 1"] |
| 438 | RNBNQBKR | rnbnqbkr | [FEN "rnbnqbkr/pppppppp/8/8/8/8/PPPPPPPP/RNBNQBKR w HAha - 0 1"] |
| 439 | RNBNQKRB | rnbnqkrb | [FEN "rnbnqkrb/pppppppp/8/8/8/8/PPPPPPPP/RNBNQKRB w GAga - 0 1"] |
| 440 | RBNNBQKR | rbnnbqkr | [FEN "rbnnbqkr/pppppppp/8/8/8/8/PPPPPPPP/RBNNBQKR w HAha - 0 1"] |
| 441 | RNNBBQKR | rnnbbqkr | [FEN "rnnbbqkr/pppppppp/8/8/8/8/PPPPPPPP/RNNBBQKR w HAha - 0 1"] |
| 442 | RNNQBBKR | rnnqbbkr | [FEN "rnnqbbkr/pppppppp/8/8/8/8/PPPPPPPP/RNNQBBKR w HAha - 0 1"] |
| 443 | RNNQBKRB | rnnqbkrb | [FEN "rnnqbkrb/pppppppp/8/8/8/8/PPPPPPPP/RNNQBKRB w GAga - 0 1"] |
| 444 | RBNNQKBR | rbnnqkbr | [FEN "rbnnqkbr/pppppppp/8/8/8/8/PPPPPPPP/RBNNQKBR w HAha - 0 1"] |
| 445 | RNNBQKBR | rnnbqkbr | [FEN "rnnbqkbr/pppppppp/8/8/8/8/PPPPPPPP/RNNBQKBR w HAha - 0 1"] |
| 446 | RNNQKBBR | rnnqkbbr | [FEN "rnnqkbbr/pppppppp/8/8/8/8/PPPPPPPP/RNNQKBBR w HAha - 0 1"] |
| 447 | RNNQKRBB | rnnqkrbb | [FEN "rnnqkrbb/pppppppp/8/8/8/8/PPPPPPPP/RNNQKRBB w FAfa - 0 1"] |
| 448 | BBRNNKQR | bbrnnkqr | [FEN "bbrnnkqr/pppppppp/8/8/8/8/PPPPPPPP/BBRNNKQR w HChc - 0 1"] |
| 449 | BRNBNKQR | brnbnkqr | [FEN "brnbnkqr/pppppppp/8/8/8/8/PPPPPPPP/BRNBNKQR w HBhb - 0 1"] |
| 450 | BRNNKBQR | brnnkbqr | [FEN "brnnkbqr/pppppppp/8/8/8/8/PPPPPPPP/BRNNKBQR w HBhb - 0 1"] |
| 451 | BRNNKQRB | brnnkqrb | [FEN "brnnkqrb/pppppppp/8/8/8/8/PPPPPPPP/BRNNKQRB w GBgb - 0 1"] |
| 452 | RBBNNKQR | rbbnnkqr | [FEN "rbbnnkqr/pppppppp/8/8/8/8/PPPPPPPP/RBBNNKQR w HAha - 0 1"] |
| 453 | RNBBNKQR | rnbbnkqr | [FEN "rnbbnkqr/pppppppp/8/8/8/8/PPPPPPPP/RNBBNKQR w HAha - 0 1"] |
| 454 | RNBNKBQR | rnbnkbqr | [FEN "rnbnkbqr/pppppppp/8/8/8/8/PPPPPPPP/RNBNKBQR w HAha - 0 1"] |
| 455 | RNBNKQRB | rnbnkqrb | [FEN "rnbnkqrb/pppppppp/8/8/8/8/PPPPPPPP/RNBNKQRB w GAga - 0 1"] |
| 456 | RBNNBKQR | rbnnbkqr | [FEN "rbnnbkqr/pppppppp/8/8/8/8/PPPPPPPP/RBNNBKQR w HAha - 0 1"] |
| 457 | RNNBBKQR | rnnbbkqr | [FEN "rnnbbkqr/pppppppp/8/8/8/8/PPPPPPPP/RNNBBKQR w HAha - 0 1"] |
| 458 | RNNKBBQR | rnnkbbqr | [FEN "rnnkbbqr/pppppppp/8/8/8/8/PPPPPPPP/RNNKBBQR w HAha - 0 1"] |
| 459 | RNNKBQRB | rnnkbqrb | [FEN "rnnkbqrb/pppppppp/8/8/8/8/PPPPPPPP/RNNKBQRB w GAga - 0 1"] |
| 460 | RBNNKQBR | rbnnkqbr | [FEN "rbnnkqbr/pppppppp/8/8/8/8/PPPPPPPP/RBNNKQBR w HAha - 0 1"] |
| 461 | RNNBKQBR | rnnbkqbr | [FEN "rnnbkqbr/pppppppp/8/8/8/8/PPPPPPPP/RNNBKQBR w HAha - 0 1"] |
| 462 | RNNKQBBR | rnnkqbbr | [FEN "rnnkqbbr/pppppppp/8/8/8/8/PPPPPPPP/RNNKQBBR w HAha - 0 1"] |
| 463 | RNNKQRBB | rnnkqrbb | [FEN "rnnkqrbb/pppppppp/8/8/8/8/PPPPPPPP/RNNKQRBB w FAfa - 0 1"] |
| 464 | BBRNNKRQ | bbrnnkrq | [FEN "bbrnnkrq/pppppppp/8/8/8/8/PPPPPPPP/BBRNNKRQ w GCgc - 0 1"] |
| 465 | BRNBNKRQ | brnbnkrq | [FEN "brnbnkrq/pppppppp/8/8/8/8/PPPPPPPP/BRNBNKRQ w GBgb - 0 1"] |
| 466 | BRNNKBRQ | brnnkbrq | [FEN "brnnkbrq/pppppppp/8/8/8/8/PPPPPPPP/BRNNKBRQ w GBgb - 0 1"] |
| 467 | BRNNKRQB | brnnkrqb | [FEN "brnnkrqb/pppppppp/8/8/8/8/PPPPPPPP/BRNNKRQB w FBfb - 0 1"] |
| 468 | RBBNNKRQ | rbbnnkrq | [FEN "rbbnnkrq/pppppppp/8/8/8/8/PPPPPPPP/RBBNNKRQ w GAga - 0 1"] |
| 469 | RNBBNKRQ | rnbbnkrq | [FEN "rnbbnkrq/pppppppp/8/8/8/8/PPPPPPPP/RNBBNKRQ w GAga - 0 1"] |
| 470 | RNBNKBRQ | rnbnkbrq | [FEN "rnbnkbrq/pppppppp/8/8/8/8/PPPPPPPP/RNBNKBRQ w GAga - 0 1"] |
| 471 | RNBNKRQB | rnbnkrqb | [FEN "rnbnkrqb/pppppppp/8/8/8/8/PPPPPPPP/RNBNKRQB w FAfa - 0 1"] |
| 472 | RBNNBKRQ | rbnnbkrq | [FEN "rbnnbkrq/pppppppp/8/8/8/8/PPPPPPPP/RBNNBKRQ w GAga - 0 1"] |
| 473 | RNNBBKRQ | rnnbbkrq | [FEN "rnnbbkrq/pppppppp/8/8/8/8/PPPPPPPP/RNNBBKRQ w GAga - 0 1"] |
| 474 | RNNKBBRQ | rnnkbbrq | [FEN "rnnkbbrq/pppppppp/8/8/8/8/PPPPPPPP/RNNKBBRQ w GAga - 0 1"] |
| 475 | RNNKBRQB | rnnkbrqb | [FEN "rnnkbrqb/pppppppp/8/8/8/8/PPPPPPPP/RNNKBRQB w FAfa - 0 1"] |
| 476 | RBNNKRBQ | rbnnkrbq | [FEN "rbnnkrbq/pppppppp/8/8/8/8/PPPPPPPP/RBNNKRBQ w FAfa - 0 1"] |
| 477 | RNNBKRBQ | rnnbkrbq | [FEN "rnnbkrbq/pppppppp/8/8/8/8/PPPPPPPP/RNNBKRBQ w FAfa - 0 1"] |
| 478 | RNNKRBBQ | rnnkrbbq | [FEN "rnnkrbbq/pppppppp/8/8/8/8/PPPPPPPP/RNNKRBBQ w EAea - 0 1"] |
| 479 | RNNKRQBB | rnnkrqbb | [FEN "rnnkrqbb/pppppppp/8/8/8/8/PPPPPPPP/RNNKRQBB w EAea - 0 1"] |
| 480 | BBQRNKNR | bbqrnknr | [FEN "bbqrnknr/pppppppp/8/8/8/8/PPPPPPPP/BBQRNKNR w HDhd - 0 1"] |
| 481 | BQRBNKNR | bqrbnknr | [FEN "bqrbnknr/pppppppp/8/8/8/8/PPPPPPPP/BQRBNKNR w HChc - 0 1"] |
| 482 | BQRNKBNR | bqrnkbnr | [FEN "bqrnkbnr/pppppppp/8/8/8/8/PPPPPPPP/BQRNKBNR w HChc - 0 1"] |
| 483 | BQRNKNRB | bqrnknrb | [FEN "bqrnknrb/pppppppp/8/8/8/8/PPPPPPPP/BQRNKNRB w GCgc - 0 1"] |
| 484 | QBBRNKNR | qbbrnknr | [FEN "qbbrnknr/pppppppp/8/8/8/8/PPPPPPPP/QBBRNKNR w HDhd - 0 1"] |
| 485 | QRBBNKNR | qrbbnknr | [FEN "qrbbnknr/pppppppp/8/8/8/8/PPPPPPPP/QRBBNKNR w HBhb - 0 1"] |
| 486 | QRBNKBNR | qrbnkbnr | [FEN "qrbnkbnr/pppppppp/8/8/8/8/PPPPPPPP/QRBNKBNR w HBhb - 0 1"] |
| 487 | QRBNKNRB | qrbnknrb | [FEN "qrbnknrb/pppppppp/8/8/8/8/PPPPPPPP/QRBNKNRB w GBgb - 0 1"] |
| 488 | QBRNBKNR | qbrnbknr | [FEN "qbrnbknr/pppppppp/8/8/8/8/PPPPPPPP/QBRNBKNR w HChc - 0 1"] |
| 489 | QRNBBKNR | qrnbbknr | [FEN "qrnbbknr/pppppppp/8/8/8/8/PPPPPPPP/QRNBBKNR w HBhb - 0 1"] |
| 490 | QRNKBBNR | qrnkbbnr | [FEN "qrnkbbnr/pppppppp/8/8/8/8/PPPPPPPP/QRNKBBNR w HBhb - 0 1"] |
| 491 | QRNKBNRB | qrnkbnrb | [FEN "qrnkbnrb/pppppppp/8/8/8/8/PPPPPPPP/QRNKBNRB w GBgb - 0 1"] |
| 492 | QBRNKNBR | qbrnknbr | [FEN "qbrnknbr/pppppppp/8/8/8/8/PPPPPPPP/QBRNKNBR w HChc - 0 1"] |
| 493 | QRNBKNBR | qrnbknbr | [FEN "qrnbknbr/pppppppp/8/8/8/8/PPPPPPPP/QRNBKNBR w HBhb - 0 1"] |
| 494 | QRNKNBBR | qrnknbbr | [FEN "qrnknbbr/pppppppp/8/8/8/8/PPPPPPPP/QRNKNBBR w HBhb - 0 1"] |
| 495 | QRNKNRBB | qrnknrbb | [FEN "qrnknrbb/pppppppp/8/8/8/8/PPPPPPPP/QRNKNRBB w FBfb - 0 1"] |
| 496 | BBRQNKNR | bbrqnknr | [FEN "bbrqnknr/pppppppp/8/8/8/8/PPPPPPPP/BBRQNKNR w HChc - 0 1"] |
| 497 | BRQBNKNR | brqbnknr | [FEN "brqbnknr/pppppppp/8/8/8/8/PPPPPPPP/BRQBNKNR w HBhb - 0 1"] |
| 498 | BRQNKBNR | brqnkbnr | [FEN "brqnkbnr/pppppppp/8/8/8/8/PPPPPPPP/BRQNKBNR w HBhb - 0 1"] |
| 499 | BRQNKNRB | brqnknrb | [FEN "brqnknrb/pppppppp/8/8/8/8/PPPPPPPP/BRQNKNRB w GBgb - 0 1"] |
| 500 | RBBQNKNR | rbbqnknr | [FEN "rbbqnknr/pppppppp/8/8/8/8/PPPPPPPP/RBBQNKNR w HAha - 0 1"] |
| 501 | RQBBNKNR | rqbbnknr | [FEN "rqbbnknr/pppppppp/8/8/8/8/PPPPPPPP/RQBBNKNR w HAha - 0 1"] |
| 502 | RQBNKBNR | rqbnkbnr | [FEN "rqbnkbnr/pppppppp/8/8/8/8/PPPPPPPP/RQBNKBNR w HAha - 0 1"] |
| 503 | RQBNKNRB | rqbnknrb | [FEN "rqbnknrb/pppppppp/8/8/8/8/PPPPPPPP/RQBNKNRB w GAga - 0 1"] |
| 504 | RBQNBKNR | rbqnbknr | [FEN "rbqnbknr/pppppppp/8/8/8/8/PPPPPPPP/RBQNBKNR w HAha - 0 1"] |
| 505 | RQNBBKNR | rqnbbknr | [FEN "rqnbbknr/pppppppp/8/8/8/8/PPPPPPPP/RQNBBKNR w HAha - 0 1"] |
| 506 | RQNKBBNR | rqnkbbnr | [FEN "rqnkbbnr/pppppppp/8/8/8/8/PPPPPPPP/RQNKBBNR w HAha - 0 1"] |
| 507 | RQNKBNRB | rqnkbnrb | [FEN "rqnkbnrb/pppppppp/8/8/8/8/PPPPPPPP/RQNKBNRB w GAga - 0 1"] |
| 508 | RBQNKNBR | rbqnknbr | [FEN "rbqnknbr/pppppppp/8/8/8/8/PPPPPPPP/RBQNKNBR w HAha - 0 1"] |
| 509 | RQNBKNBR | rqnbknbr | [FEN "rqnbknbr/pppppppp/8/8/8/8/PPPPPPPP/RQNBKNBR w HAha - 0 1"] |
| 510 | RQNKNBBR | rqnknbbr | [FEN "rqnknbbr/pppppppp/8/8/8/8/PPPPPPPP/RQNKNBBR w HAha - 0 1"] |
